photo_id,captured_at,site,perch,observer,individual,id_confidence,age,sex,band_visible,band_code,traits_seen,quality,processing,notes,store,store_ref,source_name,date_source,ingested_at,camera,lens,focal_mm,shutter,aperture,iso,width,height,has_gps,readable,sha256,dhash
20260810-82fa056f,2026-08-10T07:17:33,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-14.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1000,2333,1555,no,yes,82fa056fb14d2a383a5acb877b77d085603fe4a2acbcea026872e9aa829283d2,030d1918125b0d20
20260810-a0aadc38,2026-08-10T07:17:34,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-16.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1000,2440,1627,no,yes,a0aadc38dfccae3c8cdad968f43930c462e1f0f259252035dceabfa8c95f8241,03140d0818092404
20260810-b97ace14,2026-08-10T07:17:34,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-17.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1000,2130,1420,no,yes,b97ace14f35041236ac91a131636385076e575e5490b18cbd0e6460c95dd1b46,060d082819494904
20260810-5396c64f,2026-08-10T07:18:55,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-19.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1000,2686,1791,no,yes,5396c64f48489016ea2e45ac1d2eba15139c3c750ffd6a24622fae1dd13910fe,35373130f0d33730
20260810-706db497,2026-08-10T07:19:19,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-20.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1000,2498,1665,no,yes,706db49732dc87dfa64588a05043974453d2fb0f095c6d607a84c50c0f2e1efb,27373128e0933735
20250815-4f55a160,2025-08-15T18:23:07,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20250815_222307544.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 6.81mm f/1.85,6.81,1/531,1.85,40,4080,3072,yes,yes,4f55a160182484b428ac563d0f051d1f8b4c29cf1f6d0736b188c059ca1b5f62,a424646464f0f4f4
20250907-326a50d3,2025-09-07T19:06:39,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20250907_230639011.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 19.0mm f/3.5,19.0,1/80,3.5,644,4080,3072,yes,yes,326a50d35da9355c4918c5104248b6588d28521c0b9ff27f2f7c3a7ffea87eb1,0000282030313931
20250907-ae0376c1,2025-09-07T19:07:29,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20250907_230729418.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 19.0mm f/3.5,19.0,1/30,3.5,1281,4080,3072,yes,yes,ae0376c1b3e1ee175a69fdf5a8563c39d3a816b5d956dd2fccab9cb2e09d01b5,28b0e2a2a4e43454
20250907-fb059cb4,2025-09-07T19:12:17,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20250907_231217149.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 6.81mm f/1.85,6.81,1/40,1.85,595,4080,3072,yes,yes,fb059cb45a773b7420ffbde1490aa13a0a5b6779ea721787759c7c8e0937252e,10181034b410c082
20250907-528ba9c3,2025-09-07T19:16:16,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20250907_231616995.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 6.81mm f/1.85,6.81,1/88,1.85,1814,4080,3072,yes,yes,528ba9c3bb6dbaae96ba54ebc9d65e2fe048f8da46883db0b28c5ae9838ea2e8,2525246868682800
20260107-f8b60da2,2026-01-07T16:20:08,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260107_212008439.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/30,1.68,191,6144,8160,yes,yes,f8b60da251aafd456234070735a00e57bfc1a38971562529448e89c0848ebe1f,b24e66e664b4d4e4
20260111-543b1ec9,2026-01-11T10:15:18,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260111_151518048.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/97,1.68,55,6144,8160,yes,yes,543b1ec990165cd6615678b7d0725f1459293ae2001f7b8d7dc05b3f56ec2c8c,b3b379697bd2d7d7
20260111-52791284,2026-01-11T10:46:52,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260111_154652191.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/225,1.68,167,6144,8160,yes,yes,527912841f0f0873d89599fc362b7d50016a54546ce6d02d44f73bc198b1dd27,6010e4c0d38cc0c2
20260111-e3359dcd,2026-01-11T11:03:25,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260111_160325719.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/1133,1.68,272,6144,8160,yes,yes,e3359dcd3a7b369c184cf07d10e16e53cfd9198c6bfded3d69db14ba7ea71367,edccb565c8bcbd89
20260111-9ca50040,2026-01-11T11:04:17,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260111_160417319.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/395,1.68,81,6144,8160,yes,yes,9ca50040c4da3beed5fc5b1e0801c2cdb70efc04ee7201d05787a73df8c9c38c,d6e696e2b2d64e6e
20260313-0edde8b4,2026-03-13T09:00:20,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130020860.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/269,1.68,24,6144,8160,yes,yes,0edde8b43508c418132d245fc6ec6ed2dbe887cbde40289df1c46adbd5e95e0f,d4f4f4f47c7ab4fe
20260313-5c7e3d2d,2026-03-13T09:00:27,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130027039.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/253,1.68,28,6144,8160,yes,yes,5c7e3d2da61720de3d0945b1c437f964838037470ea44940d35adde8cfa08eb4,e4e4e4f57c7ab4fe
20260313-51e388db,2026-03-13T09:05:41,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130541003.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/253,1.68,20,6144,8160,yes,yes,51e388db12a3cdd99c2160c42277288948ff09090680ec643bf93437fb962394,e2e2f3c9b276cbb3
20260313-60403601,2026-03-13T09:05:59,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130559184.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/244,1.68,21,6144,8160,yes,yes,6040360183ba23d252929e3f71ab9b997fcb91647c4e68c525af64dc0901661c,804095ea58336443
20260313-ce4ee808,2026-03-13T09:07:16,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130716056.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/323,1.68,23,6144,8160,yes,yes,ce4ee808089b3f92daf5ae4179cb4cccbf16d2fbb54c2149528468366ff23a0b,c2c1d5b9d373e78d
20260313-ebc6a4f7,2026-03-13T09:07:49,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130749132.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/221,1.68,20,6144,8160,yes,yes,ebc6a4f789c92ec6954a80e25e6a4782d1c579d6f0829e56817322edad719cb5,c2e2e3d1b372cbb3
20260313-98214add,2026-03-13T09:08:12,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260313_130812190.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/231,1.68,25,6144,8160,yes,yes,98214add4174b6afb09620e712f3a59e3a2f98db06666016de282818a974ae98,902c912cd92660c6
20260628-b5e60744,2026-06-28T21:06:15,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260629_010615338.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/15,1.68,6632,6144,8160,yes,yes,b5e60744ea0ad83bf30db530a7f685264595ddab0eacba2b4a1fdcea8350b696,0303c73b27c3e3e2
20260628-948fa868,2026-06-28T21:09:10,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260629_010910010.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/15,1.68,6632,6144,8160,yes,yes,948fa8685a59feb05800d346178a074c2c859a814f5a4aad413538d3f345c984,2337673999e1e0e5
20260713-4ce4fea1,2026-07-13T19:48:11,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260713_234811958.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/302,1.68,507,3101,4406,yes,yes,4ce4fea1e539b1fc594e0ab594a4ed6d04e555c5aba80193b95d1755f75c6a34,6660bcdccc66a60c
20260713-b775ddad,2026-07-13T19:55:02,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260713_235502176.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/90,1.68,276,2606,4022,yes,yes,b775ddad149f7a8187cd65fe6f1493f8b77c5bb63b6beecbf3ab57f616188025,cdd2f1d94c2c72f1
20260713-ffb59bb6,2026-07-13T19:59:42,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260713_235942948.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/484,1.68,1154,2848,3796,yes,yes,ffb59bb63ee4720f65d21f2018b2a4007800b778ce713876682d2cb6eccb8741,4cb27979653418e0
20260713-c849abd3,2026-07-13T20:01:36,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_000136722.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/562,1.68,2000,4642,5706,yes,yes,c849abd3826c27de0bc3146a1ff8f09acf8e5ed9ed9c131f64429aa7c543241c,b270f9d9cdc47434
20260713-74df1034,2026-07-13T20:01:46,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_000146696.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/608,1.68,2125,4161,5998,yes,yes,74df1034d350cafbf120fe070988bfd93e06e85645853d685c643ba9fe5bda42,173364dcdc662a1a
20260713-e13950a2,2026-07-13T20:01:54,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_000154831.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/567,1.68,2028,4273,5697,yes,yes,e13950a2b39079c53f788ca7ab5f2af994b628bef0c8df031a4ed3a55074bb28,137379d8d4c66a12
20260713-cf724e8c,2026-07-13T20:02:43,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_000243654.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/391,1.68,1338,3514,4023,yes,yes,cf724e8ce810d51cd7d14d9b03b7febb700ed08b59e92e6d6c355ca3eee28cd8,4c32b07969651108
20260713-17447e90,2026-07-13T20:35:48,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_003548622.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/30,1.68,3849,2481,2481,yes,yes,17447e908eb8886675fa001b1622a2865d4589589825a661c6163f24198f95d0,c49a79d0d2320100
20260714-dbdb42d3,2026-07-14T19:12:25,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_231225964.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/90,1.68,133,3035,3475,yes,yes,dbdb42d39d3aa6d4b05132c355a058022cfbd48640da2768c0ac9a2fd504a8ca,166666b2b8dc464f
20260714-fcd7c3ed,2026-07-14T19:23:48,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_232348810.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/90,1.68,197,4295,5180,yes,yes,fcd7c3ed7787dc7812ab63e4cb1d2aa8b7505fae2e2122068b63ee3447351622,425d35293a6065c2
20260714-63222875,2026-07-14T19:26:08,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260714_232608354.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/199,1.68,243,4400,5374,yes,yes,63222875ba0c9be5d0553e6a174f2888e5a3aa40a714a13f2278201c3fd8d15d,232c30349820644a
20260716-86c4a62a,2026-07-16T20:32:26,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260717_003226131.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/80,1.68,2112,3900,3900,yes,yes,86c4a62a4069cad707b01cc7b53b40cbefe4f236543ed14f4353a061f8a623b9,020e32f2e24ae074
20260716-5e14264b,2026-07-16T20:40:33,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260717_004033813.RAW-01~2.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/21,1.68,2125,3908,4492,yes,yes,5e14264b10265d77f6cd575fae2a3223a415c0d3ce92ab41982d74c888c800be,536c669ab9296662
20260717-ded0d9ed,2026-07-17T20:46:55,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260718_004655071.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/13,1.68,4072,2980,2967,yes,yes,ded0d9edfc024fd769e6878f0fb2b5b6a96b1ffbb3439ca9e02757fccebff290,6048647239793271
20260717-9cbc2b4c,2026-07-17T20:50:19,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PXL_20260718_005019556.RAW-01.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 10 Pro,Pixel 10 Pro back camera 6.9mm f/1.68,6.9,1/15,1.68,5176,2182,3326,yes,yes,9cbc2b4ce99909e69735779f8d44a704414e9b8f6f36ac73568c00294c17b430,3048b971616262f3
